STFID Number,County,Census Tract,Population,% Whites,% African Americans,% Native Americans,% Asians,% Pacific Islanders,% Persons of Other Races,% Persons of More than One Race,Hispanics of Any Race,% Hispanics of Any Race,Minority Persons,% Minority Persons,Median Household Income,% Persons Below Poverty Level,Median Home Value,Owner-Occupied Units,Renter-Occupied Units,% Owner-Occupied Units,% Renter-Occupied Units
290950135021,Jackson,135.02,2389,91.7,4.5,0.6,0.8,0,0.8,1.6,55,2.3,218,9.1,67887,3.4,154825,740,117,86.3,13.7
290950127013,Jackson,127.01,1832,68.2,26.9,0.3,0.5,0.6,1.2,2.3,54,2.9,612,33.4,53600,6.2,127865,521,180,74.3,25.7
290950008003,Jackson,8,683,48.9,10.5,0.4,14.8,0.7,20.8,3.8,243,35.6,432,63.3,26029,30.3,65283,139,105,57,43
290950116005,Jackson,116,781,88.2,2.2,0.4,0.3,2.7,1.4,4.9,62,7.9,122,15.6,41786,21.6,100625,222,96,69.8,30.2
290950133091,Jackson,133.09,1406,43.9,49.6,0.1,1.1,0.1,0.9,4.3,39,2.8,805,57.3,60066,5.2,127956,444,66,87.1,12.9
290950043001,Jackson,43,1090,40.2,49.1,0.6,3.8,0,4,2.4,87,8,680,62.4,14673,35,165234,93,397,19,81
290950149031,Jackson,149.03,937,96.3,0.6,0.2,0.4,0.1,0,2.3,21,2.2,51,5.4,64632,3.5,215761,302,44,87.3,12.7
290950023002,Jackson,23,1262,26.4,42.3,0.9,1,0.9,23.6,5,486,38.5,1067,84.5,32778,32.2,83704,235,159,59.6,40.4
290950134013,Jackson,134.01,433,46.9,22.6,0.7,0.5,0,27.3,2.1,156,36,262,60.5,30795,29.4,133929,35,143,19.7,80.3
290470221004,Clay,221,1569,74.4,10.5,0.5,3.4,0.8,6.9,3.4,241,15.4,509,32.4,51213,6.6,112302,311,475,39.6,60.4
290950105002,Jackson,105,950,54.8,36,1.1,0.3,0,3.3,4.5,61,6.4,444,46.7,27250,18.6,85366,188,201,48.3,51.7
290370609042,Cass,609.04,1896,95.5,0.6,0.9,0.6,0.1,0.8,1.4,62,3.3,118,6.2,49083,7,134004,482,259,65,35
290950094003,Jackson,94,1242,82.6,8.3,1,3.1,0,1.9,3.1,87,7,274,22.1,57258,16.6,112925,459,194,70.3,29.7
290950132081,Jackson,132.08,1536,18.4,77.9,0.3,0.3,0.1,1.2,1.7,60,3.9,1294,84.2,41273,25.4,97250,380,163,70,30
290370603023,Cass,603.02,2280,91.9,4.2,0.2,0.4,0,0.9,2.4,84,3.7,242,10.6,100962,2.4,236707,732,29,96.2,3.8
290950118002,Jackson,118,2089,83.8,7.5,0.5,0.5,0.1,3.4,4.2,187,9,412,19.7,33995,26.6,65935,528,342,60.7,39.3
290470208012,Clay,208.01,954,94.2,1.9,0.5,0.2,0,1,2.1,46,4.8,79,8.3,40915,10.6,81277,333,94,78,22
290950162002,Jackson,162,549,3.6,92.2,1.1,0,0,0.7,2.4,15,2.7,530,96.5,22581,33.7,43155,99,177,35.9,64.1
290950007003,Jackson,7,999,40.1,7.7,0.6,17,0,29.9,4.6,542,54.3,811,81.2,32548,33.6,61333,177,133,57.1,42.9
290950094002,Jackson,94,1232,28.9,61.4,0.8,1,0,3.1,4.8,80,6.5,901,73.1,12087,16.6,92593,162,445,26.7,73.3
290950083001,Jackson,83,1156,93,2.6,0.3,1.9,0.3,0.3,1.6,25,2.2,96,8.3,124691,2,319463,443,20,95.7,4.3
290950101032,Jackson,101.03,536,38.2,52.8,0.4,1.9,0.2,5,1.5,29,5.4,337,62.9,36786,13.4,148418,134,99,57.5,42.5
290950144002,Jackson,144,832,75.8,19,0.2,1.6,0.6,0,2.8,25,3,217,26.1,130106,6.5,350840,246,45,84.5,15.5
290950088003,Jackson,88,529,3.2,92.8,0.6,0,0.8,0.2,2.5,4,0.8,513,97,14858,30.3,47283,87,117,42.6,57.4
291650300022,Platte,300.02,2009,71.6,14.5,1.5,3.9,0.8,4.5,3.2,213,10.6,677,33.7,36036,18.6,176042,94,846,10,90
290950008001,Jackson,8,763,53.7,10.9,0.9,10.1,0,18,6.4,312,40.9,477,62.5,40053,30.3,59812,169,77,68.7,31.3
290950134051,Jackson,134.05,897,79.8,12,0.7,0.3,0,3.3,3.8,84,9.4,222,24.7,41149,37.3,128600,213,130,62.1,37.9
290370600013,Cass,600.01,1624,90.2,3.1,0.2,0.6,0.9,1.8,3.1,111,6.8,220,13.5,56209,8,135739,433,208,67.6,32.4
290950146043,Jackson,146.04,1078,80.9,7.2,1.1,1.4,0.1,5,4.3,102,9.5,236,21.9,44227,13.9,137250,236,272,46.5,53.5
290950034003,Jackson,34,676,27.2,39.3,0.7,0,0,27.2,5.5,298,44.1,589,87.1,19732,48.5,47845,104,115,47.5,52.5
290470211012,Clay,211.01,724,91.7,2.9,0.7,0.8,0.1,0.4,3.3,26,3.6,79,10.9,51931,10.7,122120,300,53,85,15
290470210043,Clay,210.04,856,85.6,4.4,0,0.6,0,4.6,4.8,115,13.4,187,21.8,51885,5.5,109110,295,46,86.5,13.5
290950129041,Jackson,129.04,845,29.7,56.8,0.2,6.3,0,2.1,4.9,33,3.9,606,71.7,60065,8.1,107857,254,58,81.4,18.6
290470206023,Clay,206.02,841,84.8,5.1,0.4,3.4,0.1,3.1,3.1,99,11.8,194,23.1,34667,11.2,127941,126,239,34.5,65.5
290370612001,Cass,612,1054,97.8,0.7,0.6,0.2,0,0,0.8,13,1.2,35,3.3,55506,8,132692,345,68,83.5,16.5
290950159001,Jackson,159,1683,46.8,43.7,0.1,4.8,0,2.4,2.3,88,5.2,930,55.3,50962,24.4,198864,310,257,54.7,45.3
290950147023,Jackson,147.02,1786,90.2,3.2,0.9,0.8,0.6,1.9,2.4,114,6.4,229,12.8,102641,1.4,162555,606,51,92.2,7.8
290950010001,Jackson,10,691,39.9,32,0.1,8.7,0.1,14.8,4.3,173,25,474,68.6,18438,33.4,116489,119,119,50,50
290950125022,Jackson,125.02,772,74.1,18,0.1,1.2,0.8,1.4,4.4,36,4.7,218,28.2,58250,5.4,106783,287,35,89.1,10.9
290470205004,Clay,205,781,56,30.6,0.5,2,0,4,6.9,85,10.9,377,48.3,9444,13,99091,92,210,30.5,69.5
290950141111,Jackson,141.11,2877,89.2,5.7,0.3,0.8,0.1,0.5,3.4,154,5.4,438,15.2,67500,7.6,169657,761,271,73.7,26.3
290950175002,Jackson,175,529,42,50.5,0.2,0,0.2,1.7,5.5,11,2.1,311,58.8,69643,13.6,94286,178,37,82.8,17.2
290950114014,Jackson,114.01,1434,90.7,5,0.3,1,0.2,0.2,2.5,58,4,179,12.5,56702,14.7,137500,508,50,91,9
290950139162,Jackson,139.16,3989,85.6,8.9,0.2,1.6,0.2,1.3,2.1,157,3.9,669,16.8,84759,2.9,162194,1131,225,83.4,16.6
290950133011,Jackson,133.01,1514,75.7,10.8,0.8,1,0.5,7.1,4.2,201,13.3,436,28.8,43629,5.3,92471,370,278,57.1,42.9
290950138023,Jackson,138.02,1797,89,7.8,0.5,0.6,0.1,0.7,1.3,75,4.2,256,14.2,85938,3.6,162285,561,99,85,15
290950157002,Jackson,157,1008,79.1,9.3,1.3,5.7,0.2,1,3.5,37,3.7,232,23,47941,15,207692,148,622,19.2,80.8
290950092003,Jackson,92,898,87.5,6,0.8,1.4,0,2.2,2,55,6.1,137,15.3,75000,8.2,270759,291,145,66.7,33.3
290950154001,Jackson,154,985,20.1,63.5,0.6,2.2,0.4,7.3,5.9,158,16,860,87.3,17118,57,90000,11,257,4.1,95.9
290370600042,Cass,600.04,1264,71.3,1.2,1.8,0.7,0.1,22.6,2.3,440,34.8,500,39.6,27857,17.7,19122,303,144,67.8,32.2
290470205001,Clay,205,1629,83.1,8.7,0.9,2.1,0.2,2.4,2.6,138,8.5,359,22,37847,13,108955,414,243,63,37
290950142042,Jackson,142.04,2613,92.8,3.7,0.1,0.8,0.2,0.3,2.1,77,2.9,238,9.1,82415,10.5,251955,1020,34,96.8,3.2
290950133072,Jackson,133.07,1737,25.7,65.7,0.5,0.3,0,3.5,4.3,138,7.9,1346,77.5,27362,22.8,98667,304,456,40,60
290370607002,Cass,607,912,97.5,1.1,0.9,0.3,0,0,0.2,15,1.6,38,4.2,65455,7.6,200000,294,41,87.8,12.2
290370608001,Cass,608,1254,96.5,0.7,1.1,0.2,0.2,0,1.2,23,1.8,65,5.2,59824,8.3,163659,429,30,93.5,6.5
290950134072,Jackson,134.07,1581,87,9.7,0.2,1.3,0.1,0.6,1.2,34,2.2,226,14.3,67262,7.4,246216,503,205,71,29
290950090003,Jackson,90,1338,6.1,90.4,0.1,0.2,0,1.2,2,38,2.8,1267,94.7,50152,14.6,81163,349,177,66.3,33.7
290950078022,Jackson,78.02,748,4.1,91.4,0.4,0,0,1.2,2.8,19,2.5,719,96.1,26458,26.1,44485,149,132,53,47
291650306001,Platte,306,703,88.6,3.3,1.6,0.9,0.9,0.6,4.3,45,6.4,113,16.1,44674,6.8,69200,180,164,52.3,47.7
