,Population,Median Age,Census Tract,KCMO Portion or Not,% Minority Persons,% Persons 25 or Older with BA Degree or Higher,Median Household Income,% Persons Below Poverty Level,% Owner-Occupied Units,% Renter-Occupied Units
132,3,82.5,156.0,KCMO,0.0,0.0,22500.0,0.0,100.0,0.0
133,2017,30.6,157.0,KCMO,19.9,63.8,47765.0,15.5,16.4,83.6
134,1407,31.9,158.0,KCMO,20.4,51.6,70120.0,8.0,24.9,75.1
135,1586,32.5,159.0,KCMO,49.7,28.3,47014.0,27.7,46.2,53.8
136,1611,35.1,160.0,KCMO,92.2,6.6,21712.0,49.3,40.6,59.4
137,1893,48.3,161.0,KCMO,97.8,11.1,27521.0,28.4,14.2,85.8
138,1117,46.6,162.0,KCMO,81.2,11.1,23457.0,32.1,35.1,64.9
139,2562,28.3,163.0,KCMO,68.4,4.6,28911.0,50.7,33.0,67.0
140,1969,29.5,164.0,KCMO,84.2,4.5,23013.0,40.2,33.7,66.3
141,1654,44.5,165.0,KCMO,97.3,12.7,29441.0,20.0,64.5,35.5
142,1646,41.5,166.0,KCMO,90.9,6.0,19296.0,34.9,39.6,60.4
143,2996,38.0,167.0,KCMO,28.1,40.0,30916.0,14.3,13.9,86.1
144,3660,31.5,168.0,KCMO,24.9,48.9,38448.0,23.1,25.5,74.5
145,1943,33.2,169.0,KCMO,97.5,7.9,21367.0,27.6,46.6,53.4
146,2000,48.0,170.0,KCMO,40.1,9.8,29414.0,28.6,50.4,49.6
147,4013,41.9,171.0,KCMO,96.0,14.6,32080.0,16.8,59.7,40.3
148,4265,34.1,172.0,KCMO,59.8,19.1,41671.0,13.0,45.5,54.5
149,3519,43.2,173.0,KCMO,21.3,52.5,62685.0,5.9,78.1,21.9
150,2474,30.2,174.0,KCMO,72.9,19.3,28227.0,28.7,11.6,88.4
151,1744,47.0,175.0,KCMO,49.1,24.5,45089.0,22.5,76.3,23.7
152,5235,42.7,176.0,KCMO,37.1,29.6,72632.0,5.5,90.1,9.9
153,2485,32.2,178.0,KCMO,57.1,33.5,18367.0,49.9,19.5,80.5
154,166,50.4,181.0,KCMO,2.6,57.1,39531.0,0.0,100.0,0.0
155,55,36.4,182.0,KCMO,0.0,93.6,166886.0,0.0,100.0,0.0
156,0,0.0,9801.01,KCMO,0.0,0.0,0.0,0.0,0.0,0.0
157,7950,37.1,300.01,KCMO,27.8,39.9,69332.0,10.9,65.7,34.3
